bank_code;bank_name;bank_address;bank_brand
002;PT BANK RAKYAT INDONESIA (PERSERO) Tbk;Jl. Jend. Sudirman Kav. 44-46  Jakarta 10210;BRI
008;PT BANK MANDIRI (PERSERO) Tbk;Plaza Mandiri  Jl. Gatot Subroto Kav. 36-38  Jakarta 12190;MANDIRI
009;PT BANK NEGARA INDONESIA (PERSERO) Tbk;Jl. Jend. Sudirman Kav. 1  Jakarta 10220;BNI
200;PT BANK TABUNGAN NEGARA (PERSERO) Tbk;Gedung Menara BTN  Jl. Gajah Mada No. 1  Jakarta 10130;BTN
011;PT BANK DANAMON INDONESIA Tbk;Menara Bank Danamon  Jl. HR. Rasuna Said Blok C No. 10  Karet Setiabudi  Jakarta Selatan 12940;DANAMON
013;PT BANK PERMATA Tbk;Gedung World Trade Center (WTC) II  Jl. Jend. Sudirman Kav. 29-31 Jakarta 12920;PERMATA
014;PT BANK CENTRAL ASIA Tbk;Menara BCA  Grand Indonesia Jl. M.H Thamrin No. 1  Jakarta 10310;BCA
016;PT BANK MAYBANK  INDONESIA Tbk​;Gedung Sentral Senayan 3  Lt. 26  Jl. Asia Afrika No. 8  Gelora Bung Karno - Senayan  Jakarta Pusat 10270;MAYBANK
019;PT PAN INDONESIA BANK Tbk;Panin Bank Centre  Jl. Jend. Sudirman Kav. 1 (Senayan)  Jakarta 10270;PAN
022;PT BANK CIMB NIAGA Tbk;Graha Niaga / Niaga Tower Jl. Jend. Sudirman Kav. 58  Jakarta 12190;CIMB NIAGA
023;PT BANK UOB INDONESIA;Gedung UOB Plaza  Jl. M.H. Thamrin No. 10 Jakarta 10230;UOB
028;PT BANK OCBC NISP Tbk;OCBC NISP Tower  Jl. Prof.Dr. Satrio Kav. 25  Jakarta Selatan 12950;OCBC NISP
037;PT BANK ARTHA GRAHA INTERNASIONAL Tbk;Gedung Arha Graha  Lt. 5  Jl. Sudirman Kav. 52-53  Senayan  Jakarta 12190;ARTHA GRAHA
076;PT BANK BUMI ARTA Tbk;Jl. KH. Wahid Hasyim No. 234  Jakarta 10250;BUMI ARTA
